full_address,nearest_mrt_station,distance,num_mrt_2km
239 LOR 1 TOA PAYOH,Braddell,0.4388048730693061,6
404 FAJAR RD,Bukit Panjang,0.6217316448062529,3
8 MARINE TER,Kembangan,1.8631784476008635,1
539 BEDOK NTH ST 3,Bedok North,0.9182156939572151,5
612 HOUGANG AVE 8,Hougang,0.8326886849507553,3
650 JLN TENAGA,Kaki Bukit,0.39124562639937954,5
248 TAMPINES ST 21,Tampines,0.5071958915195185,5
125 BT MERAH VIEW,Tiong Bahru,0.3871115382745928,3
171 BISHAN ST 13,Bishan,0.7644060760283102,6
116 BISHAN ST 12,Bishan,0.3663712346671036,6
540 JURONG WEST AVE 1,Lakeside,0.925892516661226,2
9 LOR 7 TOA PAYOH,Braddell,1.2419284384971565,7
59A GEYLANG BAHRU,Geylang Bahru,0.3822288131933781,10
79B TOA PAYOH CTRL,Toa Payoh,0.25480063971900746,6
172 BEDOK STH RD,Tanah Merah,0.7607285564335197,2
355 BT BATOK ST 31,Bukit Gombak,0.33712997064379757,4
537 PASIR RIS ST 51,Pasir Ris,0.38854960409516914,3
137 SERANGOON NTH AVE 2,Kovan,1.4065510954762972,3
8 JLN RUMAH TINGGI,Queenstown,0.7292372842660862,5
676C PUNGGOL DR,Punggol,0.9148829731818156,1
609 CLEMENTI WEST ST 1,Clementi,1.1979799920067171,2
2A GEYLANG SERAI,Paya Lebar,0.5310563552107087,8
43 SIMS DR,Aljunied,0.6918530008529501,13
388 BT BATOK WEST AVE 5,Bukit Gombak,0.6429881565558946,5
782B WOODLANDS CRES,Sembawang,1.8822447310954078,1
214 BEDOK NTH ST 1,Bedok,0.3254292214865099,4
532 PASIR RIS DR 1,Pasir Ris,0.2668647933326603,2
186D RIVERVALE DR,Sengkang,1.12591090879581,3
781 PASIR RIS ST 71,Pasir Ris,1.200405496211308,1
199C PUNGGOL FIELD,Punggol,0.6453732667090574,2
761 WOODLANDS AVE 6,Woodlands,1.5743953834306337,2
273D PUNGGOL PL,Punggol,0.3181652074308723,2
656 SENJA RD,Bukit Panjang,1.05239427738522,2
492B TAMPINES AVE 9,Tampines East,0.770966593175146,3
37 TEBAN GDNS RD,Jurong East,1.4033545220634358,1
339 JURONG EAST AVE 1,Chinese Garden,0.7933465875829329,2
48 LOWER DELTA RD,Tiong Bahru,0.33016283554674103,5
417 ANG MO KIO AVE 10,Ang Mo Kio,0.8386801478403314,3
33 CHAI CHEE AVE,Bedok,0.4848897800024401,4
192 PUNGGOL CTRL,Punggol,0.9959176246906353,2
829 YISHUN ST 81,Khatib,0.32109303352239676,2
7 BEDOK STH AVE 2,Bedok,0.5998587947237809,3
307C ANG MO KIO AVE 1,Ang Mo Kio,0.696736335577455,4
138A YUAN CHING RD,Lakeside,1.844159454951558,2
257 BANGKIT RD,Bukit Panjang,1.1976375106159014,3
331A ANCHORVALE ST,Sengkang,0.7302001423763399,3
705 TAMPINES ST 71,Tampines,0.7332454593206311,2
287 TAMPINES ST 22,Simei,0.6642365577732791,6
236 COMPASSVALE WALK,Sengkang,0.4604503846281167,3
457 HOUGANG AVE 10,Hougang,0.7265395798469866,3
63 NEW UPP CHANGI RD,Tanah Merah,0.8256330357165611,3
351 TAMPINES ST 33,Tampines East,0.923133845486502,3
126 BISHAN ST 12,Bishan,0.670892188456064,6
475 ANG MO KIO AVE 10,Ang Mo Kio,1.1212130596126748,3
701 TAMPINES ST 71,Tampines,0.750351649038056,2
420 SERANGOON CTRL,Serangoon,0.18280410077678377,5
116 CLEMENTI ST 13,Clementi,1.2525895992236242,4
264B COMPASSVALE BOW,Buangkok,0.40257092191969657,3
296C CHOA CHU KANG AVE 2,Choa Chu Kang,1.0021497078142345,1
41 KIM CHENG ST,Tiong Bahru,0.5554944184754229,9
344 ANG MO KIO AVE 3,Ang Mo Kio,0.22928977851167828,3
763 BEDOK RESERVOIR VIEW,Bedok Reservoir,0.20429004731484227,5
213A PUNGGOL WALK,Punggol,0.72079074881322,3
453 CHOA CHU KANG AVE 4,Choa Chu Kang,1.2076263528990323,1
369 BT BATOK ST 31,Bukit Gombak,0.1401473789322759,4
354 KANG CHING RD,Lakeside,0.5648068391183606,3
643 ANG MO KIO AVE 5,Yio Chu Kang,0.6685588502345161,2
107 TAMPINES ST 11,Simei,0.7847995756726743,5
310B ANG MO KIO AVE 1,Ang Mo Kio,0.8405502048142046,4
146 LOR 2 TOA PAYOH,Toa Payoh,0.27277676473130935,6
894 TAMPINES ST 81,Tampines West,0.7788383504655289,3
316C ANCHORVALE LINK,Sengkang,0.8073387666179993,2
407B FERNVALE RD,Buangkok,2.1314356188568553,0
688C WOODLANDS DR 75,Sembawang,1.5610801132515921,1
145 TAMPINES ST 12,Tampines,0.6277495056090958,5
349 CLEMENTI AVE 2,Clementi,0.6460378289469053,2
545 JURONG WEST ST 42,Lakeside,1.081336574666552,2
349 CORPORATION DR,Lakeside,0.5422733141754631,3
171 HOUGANG AVE 1,Kovan,1.097602029948334,4
367 BT BATOK ST 31,Bukit Gombak,0.2806037510710628,4
260C PUNGGOL WAY,Punggol,0.662856579631231,2
241 COMPASSVALE WALK,Sengkang,0.30961233629405693,3
263 TAMPINES ST 21,Tampines East,0.5542364572754123,5
747A BEDOK RESERVOIR CRES,Bedok North,0.39018814059554546,5
672A KLANG LANE,Little India,0.4031278776145859,18
10A BENDEMEER RD,Bendemeer,0.32321985013818616,12
243 YISHUN RING RD,Yishun,0.7534948876467927,2
268 YISHUN ST 22,Yishun,0.971528267457589,1
988A JURONG WEST ST 93,Pioneer,0.23823586612843986,2
120 HOUGANG AVE 1,Kovan,0.6892665473635241,4
250C COMPASSVALE ST,Sengkang,0.5025342976056356,3
44 MARINE CRES,Kembangan,1.798856261658039,1
849 JURONG WEST ST 81,Pioneer,1.110353843367435,2
50 CHAI CHEE ST,Bedok North,0.8188340606992024,5
242 TAMPINES ST 21,Tampines,0.365741496749209,4
21 LIM LIAK ST,Tiong Bahru,0.5923346836495551,9
895 TAMPINES ST 81,Tampines West,0.7790653385869355,3
191 BT BATOK WEST AVE 6,Bukit Batok,0.6145727748868578,4
213 SERANGOON AVE 4,Serangoon,0.810623734380988,4
445 SIN MING AVE,Marymount,1.3451938071601794,1
516 HOUGANG AVE 10,Hougang,0.4157668866801395,3
464 CHOA CHU KANG AVE 4,Choa Chu Kang,1.3304468089662338,1
129 GEYLANG EAST AVE 2,Paya Lebar,0.5668888674914618,10
507 JURONG WEST ST 52,Lakeside,0.5888838816048199,3
130 POTONG PASIR AVE 1,Potong Pasir,0.49808345691021727,7
648 JLN TENAGA,Kaki Bukit,0.4981619653945932,6
103 POTONG PASIR AVE 1,Potong Pasir,0.32023156489013127,8
324 JURONG EAST ST 31,Chinese Garden,0.7532952991795849,2
815 JURONG WEST ST 81,Pioneer,0.8680322111347599,2
710 WOODLANDS DR 70,Woodlands,1.2954825946410482,2
246 BISHAN ST 22,Bishan,1.2042518396028934,3
660D JURONG WEST ST 64,Boon Lay,0.3811605843892667,2
250 JURONG EAST ST 24,Chinese Garden,0.8233332707291858,3
25 NEW UPP CHANGI RD,Bedok,0.4134499748900655,3
120 MARSILING RISE,Woodlands,0.6652434555310048,3
343 BT BATOK ST 34,Bukit Gombak,0.47621075479421626,3
213 JURONG EAST ST 21,Jurong East,0.7031970423603879,3
103 TAMPINES ST 11,Tampines,0.815454011855296,6
191B RIVERVALE DR,Sengkang,0.9929992765205171,3
3 TOH YI DR,Beauty World,0.3168226028141656,2
61 CHAI CHEE RD,Kembangan,0.9314337315781778,5
482 PASIR RIS DR 4,Pasir Ris,1.1557447249648451,2
714 WOODLANDS DR 70,Woodlands,1.4875191442957356,2
656 JLN TENAGA,Kaki Bukit,0.22674410886285792,5
228 TAMPINES ST 23,Tampines East,0.12003608268139623,4
113 PENDING RD,Bukit Panjang,0.7687316014320126,3
457 CHOA CHU KANG AVE 4,Choa Chu Kang,1.1750496187940875,1
509 HOUGANG AVE 10,Hougang,0.49151021785735555,3
909 JURONG WEST ST 91,Pioneer,1.2815028284487693,2
275B COMPASSVALE LINK,Buangkok,0.13631911466191202,3
239 BT BATOK EAST AVE 5,Bukit Batok,0.6261427204538865,3
57 TELOK BLANGAH HTS,Telok Blangah,0.5229262887731919,4
605 HOUGANG AVE 4,Hougang,0.6734976291417047,3
94D BEDOK NTH AVE 4,Tanah Merah,0.9054209786153281,5
856 JURONG WEST ST 81,Pioneer,1.053872984557655,2
443 JURONG WEST AVE 1,Lakeside,0.8347777106358057,2
420 BEDOK NTH ST 1,Bedok,0.435276388271342,5
224 PENDING RD,Cashew,1.1444230051552928,3
296 YISHUN ST 20,Yishun,0.6352184428909893,1
689B CHOA CHU KANG DR,Yew Tee,0.6843439447238602,1
815 JELLICOE RD,Lavender,0.17549866654204696,18
596B ANG MO KIO ST 52,Ang Mo Kio,0.24811590951597787,2
310C PUNGGOL WALK,Punggol,0.5703218560390344,1
431 ANG MO KIO AVE 10,Ang Mo Kio,0.4268847229916784,3
66 TELOK BLANGAH DR,Telok Blangah,0.37297155981718294,5
113 TAO CHING RD,Lakeside,1.287492299677116,3
513 JURONG WEST ST 52,Lakeside,0.3649841604517889,3
628 BEDOK RESERVOIR RD,Bedok North,0.3415958141394925,4
90 TANGLIN HALT RD,Commonwealth,0.22450788315259734,6
757 YISHUN ST 72,Yishun,0.3589776026493607,2
421 BEDOK NTH RD,Bedok,0.48592074736975194,5
825 YISHUN ST 81,Khatib,0.3309187912933118,2
3 MARINE TER,Kembangan,1.9281627663306242,1
327 ANG MO KIO AVE 3,Ang Mo Kio,0.43791144317848846,3
741 YISHUN AVE 5,Yishun,0.21969027979693076,2
145 BEDOK RESERVOIR RD,Kaki Bukit,0.3534413407353999,5
306 SHUNFU RD,Marymount,0.1345486506746652,4
111 TECK WHYE LANE,Bukit Panjang,1.152767192125082,3
473 CHOA CHU KANG AVE 3,Choa Chu Kang,0.9419617332812857,1
835 HOUGANG CTRL,Hougang,0.3045852000750734,3
55 NEW UPP CHANGI RD,Tanah Merah,0.5444838079676737,3
33 MARSILING DR,Marsiling,1.2370530467290777,3
980 JURONG WEST ST 93,Pioneer,0.4478269143361348,2
181 JELEBU RD,Bukit Panjang,0.11824252480947618,3
805 WOODLANDS ST 81,Woodlands,0.41927439510972336,3
607 JURONG WEST ST 65,Pioneer,0.25608366800442656,2
44 BEDOK STH RD,Tanah Merah,0.8687808335647371,3
112 PENDING RD,Bukit Panjang,0.7011603623682313,3
